model,comp_score,roc_auc_mean,roc_auc_std,log_loss_mean,accuracy_mean,f1_mean,train_roc_auc,fit_time
hist_gradient_boosting,0.17957988050376306,0.959753022033065,0.0025875694348976657,0.1547800372945092,0.9297737556561086,0.6567658180424137,0.9961137487437168,14.379451751708984
logistic_regression,0.1480903676735128,0.9324508075080828,0.01056430323507455,0.18806410654130296,0.9245248868778282,0.5779601705281253,0.9422888966113361,8.391637086868286
naive_bayes,-4.258770474977359,0.7630595561715857,0.007720868790245797,6.410983345469765,0.5969230769230769,0.3506227352874032,0.7708842037134023,0.24891376495361328
ridge_classifier,-inf,0.9386500597764135,0.005261244823821474,,0.927239819004525,0.5825076553907647,0.9508885448771803,0.11190438270568848
