model,comp_score,roc_auc_mean,roc_auc_std,log_loss_mean,accuracy_mean,f1_mean,train_roc_auc,fit_time
hist_gradient_boosting,0.17925186843807062,0.9586687364070295,0.001736190599755465,0.15478393212005465,0.9306787330316743,0.6551070496303761,0.9908396006522568,13.584949731826782
logistic_regression,0.1614781339971711,0.9440162356805597,0.005230302020448446,0.17389533815285257,0.928868778280543,0.6303871580454816,0.957252942868149,8.727940320968628
naive_bayes,-4.258770474977359,0.7630595561715857,0.007720868790245797,6.410983345469765,0.5969230769230769,0.3506227352874032,0.7708842037134023,0.30515360832214355
ridge_classifier,-inf,0.9419609024471965,0.006074254983904042,,0.8664253393665158,0.5895526683924892,0.9542938689210155,0.7223680019378662
