model,comp_score,roc_auc_mean,roc_auc_std,log_loss_mean,accuracy_mean,f1_mean,train_roc_auc,fit_time
hist_gradient_boosting,0.16605502781062004,0.9555371136588475,0.001779530420627433,0.17229443755290602,0.9261538461538462,0.5759724938727377,0.9699125990174519,7.894858121871948
logistic_regression,0.1480903676735128,0.9324508075080828,0.01056430323507455,0.18806410654130296,0.9245248868778282,0.5779601705281253,0.9422888966113361,8.789229154586792
naive_bayes,-4.258770474977359,0.7630595561715857,0.007720868790245797,6.410983345469765,0.5969230769230769,0.3506227352874032,0.7708842037134023,0.31695055961608887
ridge_classifier,-inf,0.9382651423122972,0.006036730080665824,,0.9283257918552037,0.5885882048400105,0.9515431338878301,0.732302188873291
