model,comp_score,roc_auc_mean,roc_auc_std,log_loss_mean,accuracy_mean,f1_mean,train_roc_auc,fit_time
hist_gradient_boosting,0.16605502781062004,0.9555371136588475,0.001779530420627433,0.17229443755290602,0.9261538461538462,0.5759724938727377,0.9699125990174519,6.392010688781738
random_forest,0.16527743258959998,0.9497485087650732,0.005697346083638594,0.17092445719988852,0.9276018099547512,0.6000514663812326,0.9794204695028588,1.4893696308135986
xgboost,0.16407606843226,0.9545868047730854,0.0023627714526215076,0.1747142471423795,0.927239819004525,0.5812208970751087,0.967902883771591,1.3209927082061768
gradient_boosting,0.16073407693175595,0.9516829560776966,0.0017190336874941035,0.17824401413079008,0.9301357466063349,0.6195235240621051,0.9679705748525607,16.02074694633484
logistic_regression,0.1480903676735128,0.9324508075080828,0.01056430323507455,0.18806410654130296,0.9245248868778282,0.5779601705281253,0.9422888966113361,7.121221303939819
