model,comp_score,roc_auc_mean,roc_auc_std,log_loss_mean,accuracy_mean,f1_mean,train_roc_auc,fit_time
hist_gradient_boosting,0.164853187465428,0.9540766212703327,0.004619464965416157,0.17338542702238824,0.927239819004525,0.5872960167295126,0.9921066989187752,35.48406958580017
ridge_classifier,0.15147122592653822,0.9403224500922398,0.00450469533818572,0.18660787014447672,0.9209049773755655,0.5848746519162317,0.9549654213894911,0.3996152877807617
logistic_regression,0.14310615606633112,0.9401946253878535,0.007115863787595777,0.19850318792860705,0.9221719457013575,0.5479909120292621,0.9489444597712314,12.592301845550537
naive_bayes,0.056978751406835754,0.8304462113379651,0.010008281325632888,0.2745073028493626,0.8883257918552037,0.0,0.836976165711841,0.5159945487976074
