model,comp_score,roc_auc_mean,roc_auc_std,log_loss_mean,accuracy_mean,f1_mean,train_roc_auc,fit_time
hist_gradient_boosting,0.1787363356628716,0.9593997560364865,0.002746784153850933,0.1558337016401062,0.9306787330316743,0.6573652531207709,0.9957442353110852,9.427145004272461
logistic_regression,0.07714353337707636,0.9447464916346384,0.0036091612759866,0.2946863058761645,0.874027149321267,0.6078235124685647,0.9578074375747521,9.029974460601807
naive_bayes,-4.258770474977359,0.7630595561715857,0.007720868790245797,6.410983345469765,0.5969230769230769,0.3506227352874032,0.7708842037134023,0.2811393737792969
ridge_classifier,-inf,0.9420473321564801,0.00593902038707495,,0.8676923076923077,0.5931582173538628,0.9541632246109076,0.489246129989624
