model,comp_score,roc_auc_mean,roc_auc_std,log_loss_mean,accuracy_mean,f1_mean,train_roc_auc,fit_time
random_forest,0.16630161465731275,0.9515999527190161,0.008145906336753954,0.1702548159405601,0.927239819004525,0.6115980445050212,0.9934340905961416,27.59715223312378
xgboost,0.16237038084355776,0.951987008237343,0.003313010351831624,0.17603674518235018,0.9277828054298644,0.6074021846660396,0.9758846926675823,10.682880640029907
hist_gradient_boosting,0.1591000070324613,0.9503780407104634,0.0044695515788745425,0.18001915025811105,0.9266968325791856,0.595844126701098,0.9990306309450206,149.06285524368286
gradient_boosting,0.15826565131068399,0.9546888927065715,0.0029300445368276124,0.18305859500183924,0.924343891402715,0.5317126556889271,0.9768924506831951,11.409385442733765
logistic_regression,0.15482258108940106,0.9433235854608106,0.008088816895762567,0.18310642078406017,0.92579185520362,0.5757162586494189,0.957391818760032,16.39700961112976
