model,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,train_roc_auc,overfit_score,fit_time
hist_gradient_boosting,0.9593997560364865,0.002746784153850933,0.9306787330316743,0.0065659211392641,0.7334153836950502,0.5963676894833464,0.6573652531207709,0.9957442353110852,0.03634447927459872,9.90365719795227
logistic_regression,0.9447464916346384,0.0036091612759866,0.874027149321267,0.006709050857140479,0.4663741766576329,0.8735641227380017,0.6078235124685647,0.9578074375747521,0.013060945940113644,9.604429721832275
ridge_classifier,0.9420473321564801,0.00593902038707495,0.8676923076923077,0.004557349615208778,0.4517733037414918,0.8638735903488067,0.5931582173538628,0.9541632246109076,0.012115892454427568,0.6651182174682617
naive_bayes,0.7630595561715857,0.007720868790245797,0.5969230769230769,0.00975698242312652,0.21380213901651715,0.9740755310778914,0.3506227352874032,0.7708842037134023,0.007824647541816554,0.31179022789001465
